SE,drugA,drugB
C0020649,formoterol,moxifloxacin
C0020649,buspirone,venlafaxine
C0085649,minocycline,ondansetron
C0032285,thyroxine,norethisterone
C0020649,buspirone,vancomycin
C0020649,amphotericin B,tacrolimus
C0020649,mirtazapine,salmeterol
C0002871,quinidine,rabeprazole
C0002871,thyroxine,norfloxacin
C0013404,amphotericin B,gatifloxacin
C0020649,metoclopramide,piperacillin
C0030312,BCNU,prednisolone
C0002871,salbutamol,letrozole
C0002871,finasteride,oxaliplatin
C0002871,lisinopril,medroxyprogesterone
C0015672,ribavirin,rifampicin
C0013404,acetaminophen,miconazole
C0020649,oxybutynin,oxcarbazepine
C0020649,clarithromycin,montelukast
C0020649,cetirizine,salmeterol
C0020649,famotidine,sildenafil
C0002871,dexamethasone,pemetrexed
C0020649,warfarin,auranofin
C0032285,lansoprazole,travoprost
C0027497,clopidogrel,flunisolide
C0398353,pemetrexed,montelukast
C0020649,famotidine,sibutramine
C0013404,zolpidem,entacapone
C0015672,zolpidem,tolcapone
C0010200,loratadine,atazanavir
C0020649,cefuroxime,cyclophosphamide
C0020649,cefuroxime,cyclosporine
C0020649,cefazolin,paroxetine
C0020649,etomidate,nystatin
C0020649,atenolol,ranitidine
C0030193,entacapone,tolcapone
C0002871,N-acetylcysteine,calcium chloride
C0015967,travoprost,montelukast
C0015672,delta 9-tetrahydrocannabinol,fenofibrate
C0085649,pindolol,tramadol
C0027497,nicotinic acid,cortisol
C0027497,ibuprofen,mefloquine
C0002871,itraconazole,morphine
C0032285,isosorbide-5-mononitrate,voriconazole
C0015672,ranitidine,ziprasidone
C0013404,acetazolamide,glipizide
C0002871,nicotinic acid,hydromorphone
C0002871,clonazepam,dutasteride
C0020649,orlistat,ropinirole
C0020649,sulfate,ofloxacin
C0020649,salbutamol,thalidomide
C0020649,indapamide,perindopril
C0035078,droperidol,isoflurane
C0002871,ipratropium bromide,cefdinir
C0020649,zolpidem,zonisamide
C0018800,zolpidem,zopiclone
C0032285,captopril,ofloxacin
C0020649,prednisone,cinacalcet
C0020649,NaCl,tolterodine
C0020649,gabapentin,warfarin
C0020649,temozolomide,zolpidem
C0002871,hydromorphone,morphine
C0002871,tamoxifen,valdecoxib
C0013404,quinidine,carbamazepine
C0020649,acyclovir,fluticasone
C0013404,diltiazem,ribavirin
C0013404,spironolactone,sulindac
C0020649,hydromorphone,moxifloxacin
C0020649,lamotrigine,tolcapone
C0020649,aspirin,midazolam
C0002871,pentoxifylline,cinacalcet
C0020649,enalapril,formoterol
C0002871,oxycodone,temozolomide
C0002871,enalapril,foscarnet
C0015672,rofecoxib,ibandronate
C0020649,enalapril,fosinopril
C0020649,oxazepam,acenocoumarol
C0030193,dofetilide,montelukast
C0020649,acyclovir,folate
C0030193,acyclovir,fluvoxamine
C0027497,valacyclovir,TMC114
C0020649,cephalexin,furosemide
C0020649,cephalexin,gabapentin
C0020649,acyclovir,fluvastatin
C0002871,mitoxantrone,ofloxacin
C0020649,amikacin,allopurinol
C0020649,busulfan,valacyclovir
C0032285,busulfan,ursodeoxycholic acid
C0020649,ofloxacin,treprostinil
C0032285,haloperidol,morphine
C0032285,amphetamine,risperidone
C0011991,zaleplon,aripiprazole
C0013404,diclofenac,oxazepam
C0032285,digoxin,GGG
C0002871,theophylline,finasteride
C0002871,rofecoxib,ziprasidone
C0020649,digoxin,granisetron
C0002871,letrozole,mitoxantrone
C0002871,amlodipine,cefadroxil
C0398353,citalopram,lamotrigine
C0002871,timolol,rosiglitazone
C0020649,citalopram,lamivudine
C0030193,lidocaine,cinacalcet
C0032285,quinidine,alendronate
C0013404,candesartan,iopromide
C0002871,thyroxine,gatifloxacin
C0020649,aspirin,lactulose
C0020649,thyroxine,tacrolimus
C0020649,cetirizine,mirtazapine
C0020649,quinidine,salbutamol
C0020649,thyroxine,tamoxifen
C0002871,cetirizine,minoxidil
C0020649,digoxin,fluoxetine
C0020649,cefuroxime,irbesartan
C0020649,prednisolone,olopatadine
C0013404,lamivudine,gatifloxacin
C0020649,meperidine,octreotide
C0020649,cefuroxime,ipratropium bromide
C0013404,etoposide,rosuvastatin
C0020649,fosinopril,mirtazapine
C0020649,atorvastatin,sibutramine
C0015672,triazolam,zoledronic acid
C0013404,haloperidol,zoledronic acid
C0020649,hydromorphone,pregabalin
C0013404,acebutolol,spironolactone
C0002871,diltiazem,sildenafil
C0013404,metronidazole,pentoxifylline
C0020649,irbesartan,octreotide
C0002871,cefadroxil,nystatin
C0020649,ribavirin,lithium
C0002871,terazosin,nystatin
C0015967,triazolam,gefitinib
C0032285,bupropion,cromolyn
C0020649,mannitol,nystatin
C0020649,latanoprost,megestrol
C0008031,hydroxyzine,levonorgestrel
C0002871,famotidine,fluconazole
C0013404,nefazodone,prednisolone
C0008033,efavirenz,glibenclamide
C0020649,pantoprazole,valacyclovir
C0020649,oxybutynin,sumatriptan
C0020649,risperidone,treprostinil
C0020649,fluconazole,capecitabine
C0020649,azelastine,dexamethasone
C0002871,losartan,olopatadine
C0020649,clonazepam,nortriptyline
C0027497,clonazepam,levonorgestrel
C0015967,simvastatin,atazanavir
C0002871,clonazepam,repaglinide
C0020649,dexamethasone,simvastatin
C0020649,furosemide,tizanidine
C0020649,cyclobenzaprine,clarithromycin
C0020649,clozapine,finasteride
C0002871,risperidone,acamprosate
C0002871,efavirenz,lisinopril
C0002871,doxycycline,KCl
C0013404,clonidine,carboplatin
C0020649,cephalexin,paroxetine
C0020649,salbutamol,nifedipine
C0020649,propranolol,rofecoxib
C0020649,prostacyclin,acetaminophen
C0013404,ofloxacin,rosuvastatin
C0020649,spironolactone,imiquimod
C0002871,prednisone,entacapone
C0013404,diclofenac,sotalol
C0032285,nicotinic acid,solifenacin succinate
C0002871,nitroglycerin,tegaserod
C0020649,carisoprodol,olanzapine
C0020649,docetaxel,montelukast
C0002871,diclofenac,ketotifen
C0020649,diclofenac,ketorolac
C0020649,diclofenac,ketoprofen
C0013404,bumetanide,gatifloxacin
C0020649,olanzapine,sodium bicarbonate
C0020649,lisinopril,nifedipine
C0398353,glycopyrrolate,omeprazole
C0032285,bumetanide,tamoxifen
C0002871,bumetanide,tacrolimus
C0020649,temazepam,valdecoxib
C0020649,oxacillin,triamcinolone
C0002871,leuprolide acetate,nifedipine
C0011991,testosterone,nateglinide
C0013404,chlorhexidine,temazepam
C0013404,azathioprine,pyridostigmine
C0032285,itraconazole,caspofungin
C0002871,fentanyl,cisplatin
C0002871,fluvastatin,rabeprazole
C0020649,tobramycin,nystatin
C0002871,budesonide,sucralfate
C0020649,cyclobenzaprine,ambrisentan
C0002871,perphenazine,temazepam
C0027497,allopurinol,rosuvastatin
C0013404,candesartan,metolazone
C0011991,candesartan,metoprolol
C0020649,citalopram,valproic acid
C0020649,naproxen,clarithromycin
C0013404,lamotrigine,KCl
C0020649,azelastine,clonazepam
C0013404,Ets,raloxifene
C0020649,heparin,doxycycline
C0020649,chlorpromazine,valproic acid
C0013404,digoxin,paricalcitol
C0020649,verapamil,risedronate
C0020649,baclofen,risedronate
C0020649,aztreonam,morphine
C0032285,heparin,droperidol
C0013404,fenofibrate,furosemide
C0027497,dapsone,rifampicin
C0020649,furosemide,trihexyphenidyl
C0002871,ciclopirox,ciprofloxacin
C0020649,glipizide,bortezomib
C0013404,methylprednisolone,ziprasidone
C0020649,cytosine arabinoside,vitamin K1
C0013404,methylprednisolone,ibandronate
C0027497,furosemide,trimethoprim
C0032285,acetaminophen,nitrofurantoin
C0020649,flurazepam,ibuprofen
C0030193,valproic acid,allopurinol
C0020649,fexofenadine,nitroglycerin
C0020649,quazepam,tramadol
C0020649,carvedilol,pioglitazone
C0013404,acetaminophen,diltiazem
C0020649,didanosine,ganciclovir
C0002871,pyrazinamide,tiagabine
C0027497,lorazepam,nevirapine
C0013404,chlorhexidine,valacyclovir
C0020649,bupropion,gefitinib
C0020649,pyridostigmine,isosorbide-5-mononitrate
C0027497,cytosine arabinoside,imatinib
C0020649,carvedilol,gabapentin
C0002871,carvedilol,furosemide
C0020649,epsilon-aminocaproic acid,cytosine arabinoside
C0002871,amantadine,ivermectin
C0002871,carvedilol,galantamine
C0020649,quetiapine,risedronate
C0002871,olanzapine,tacrolimus
C0002871,fluvastatin,metoclopramide
C0002871,methocarbamol,orlistat
C0013404,simvastatin,sulfasalazine
C0020649,olanzapine,tamoxifen
C0020649,alendronate,cefazolin
C0020649,docetaxel,lisinopril
C0231218,phenytoin,tipranavir
C0002871,donepezil,exemestane
C0020649,methocarbamol,omeprazole
C0020649,alendronate,cefadroxil
C0020649,mesna,cortisol
C0020649,pantoprazole,erlotinib
C0020649,oxybutynin,vardenafil
C0398353,oxybutynin,tadalafil
C0020649,pantoprazole,selegiline
C0002871,pyrazinamide,amlodipine
C0015672,tamoxifen,entacapone
C0002871,enalapril,nicardipine
C0020649,loxapine,ranitidine
C0020649,quetiapine,rosiglitazone
C0020649,modafinil,paroxetine
C0015672,omeprazole,gadoversetamide
C0011991,colesevelam hydrochloride,rosuvastatin
C0012833,finasteride,reserpine
C0020649,quetiapine,eletriptan
C0015672,quetiapine,frovatriptan
C0013404,glimepiride,triazolam
C0013404,oxycodone,fulvestrant
C0020649,risperidone,megestrol
C0020649,lisinopril,torasemide
C0013404,atovaquone,rifampicin
C0020649,selegiline,pregabalin
C0020456,norfloxacin,repaglinide
C0013404,amitriptyline,fenofibrate
C0020649,dexamethasone,rizatriptan
C0015672,diltiazem,darifenacin
C0002871,palonosetron,ezetimibe
C0013404,loratadine,clobetasol
C0013404,amlodipine,ritonavir
C0030193,dicyclomine,ropinirole
C0020649,ketoprofen,perindopril
C0020649,methylphenidate,carboplatin
C0020649,amiodarone,prednisolone
C0020649,triamcinolone,varenicline
C0002871,chlorhexidine,nitroglycerin
C0032285,famciclovir,pregabalin
C0000737,diazepam,dexmedetomidine
C0013404,bupropion,isoniazid
C0002871,fentanyl,tamsulosin
C0020649,delta 9-tetrahydrocannabinol,carboplatin
C0032285,verapamil,methotrexate
C0002871,quinidine,monamine
C0013404,trimethoprim,rosiglitazone
C0020649,amitriptyline,zafirlukast
C0020649,cyclobenzaprine,valproic acid
C0043094,loratadine,9-hydroxyrisperidone
C0002871,lamivudine,oxandrolone
C0020649,latanoprost,cromolyn
C0030193,ketorolac,lovastatin
C0013404,ketorolac,losartan
C0013404,oxazepam,risedronate
C0012833,vitamin A,allopurinol
C0020649,doxepin,progesterone
C0030193,baclofen,delta 9-tetrahydrocannabinol
C0002871,dipyridamole,spironolactone
C0002871,budesonide,tamsulosin
C0027497,folate,atomoxetine
C0020649,doxepin,promethazine
C0013404,gabapentin,mupirocin
C0030193,alendronate,oxaprozin
C0020649,alendronate,oxazepam
C0002871,hydroxyzine,mercaptopurine
C0002871,modafinil,zoledronic acid
C0020649,cortisol,valganciclovir
C0011991,lorazepam,tetracycline
C0020649,linezolid,propranolol
C0020649,voriconazole,rifampicin
C0020649,pantoprazole,temozolomide
C0002871,linezolid,propofol
C0013404,furosemide,sulindac
C0020649,efavirenz,ondansetron
C0027497,atorvastatin,ibandronate
C0002871,omeprazole,rocuronium
C0030193,docetaxel,trandolapril
C0002871,docetaxel,tramadol
C0013404,lovastatin,triazolam
C0002871,atorvastatin,ziprasidone
C0002871,oxazepam,tamsulosin
C0013404,propranolol,desloratadine
C0002871,anastrozole,megestrol
C0020649,naltrexone,quetiapine
C0020649,leflunomide,KCl
C0020649,donepezil,nisoldipine
C0020649,phenytoin,nitrazepam
C0013404,epinephrine,paclitaxel
C0002871,isosorbide dinitrate,risedronate
C0020649,amiodarone,glipizide
C0013404,risedronate,montelukast
C0032285,ramipril,levetiracetam
C0020649,amiodarone,sildenafil
C0020649,cyclophosphamide,dapsone
C0013404,metronidazole,neomycin
C0020649,cyclophosphamide,nystatin
C0020649,phenytoin,nitrofurantoin
C0002871,pamidronate,prednisone
C0020649,cefepime,clofarabine
C0020649,trihexyphenidyl,levetiracetam
C0015672,ramipril,O-desmethylvenlafaxine
C0020649,amphotericin B,ranitidine
C0020649,amphotericin B,ramipril
C0020649,pemetrexed,erlotinib
C0020649,lisinopril,thalidomide
C0398353,DDAVP,ezetimibe
C0020649,finasteride,capecitabine
C0002871,carvedilol,rapamycin
C0020649,thyroxine,sulfate
C0002871,diflunisal,ibuprofen
C0002871,hydrochlorothiazide,fluticasone
C0013404,cyclobenzaprine,fondaparinux sodium
C0020649,azelastine,modafinil
C0020649,fluconazole,quinapril
C0020649,fluconazole,quetiapine
C0020649,sulfate,olopatadine
C0002871,bisoprolol,budesonide
C0002871,sulfadiazine,clarithromycin
C0020649,captopril,carisoprodol
C0020649,rosiglitazone,cinacalcet
C0002871,duloxetine,lenalidomide
C0595939,carvedilol,FTC
C0002871,theophylline,torasemide
C0002871,ticlopidine,tirofiban
C0027497,cyclosporine,misoprostol
C0020649,lidocaine,eletriptan
C0002871,atenolol,cyclosporine
C0020649,celecoxib,zoledronic acid
C0032285,clonazepam,selegiline
C0020649,lidocaine,rosiglitazone
C0020649,metformin,phentermine
C0020649,methotrexate,rizatriptan
C0020649,vitamin D,tizanidine
C0020649,bupropion,sumatriptan
C0020649,gemfibrozil,allopurinol
C0032285,levetiracetam,lactulose
C0020649,citalopram,torasemide
C0020649,tramadol,triamcinolone
C0015672,gabapentin,rosuvastatin
C0020649,acetaminophen,nitric oxide
C0002871,cyclobenzaprine,terazosin
C0002871,lansoprazole,monamine
C0020649,bupropion,sulindac
C0020649,minocycline,rofecoxib
C0027497,bupropion,allopurinol
C0004093,raloxifene,zopiclone
C0002871,nicotinic acid,sorafenib
C0020649,modafinil,primidone
C0013404,prostacyclin,amlodipine
C0020649,sertraline,tiagabine
C0015967,prostacyclin,amitriptyline
C0002871,acebutolol,indapamide
C0020649,modafinil,prednisone
C0020649,hydroxychloroquine,ribavirin
C0015967,hydroxyzine,scopolamine
C0002871,clindamycin,minocycline
C0020649,clindamycin,mirtazapine
C0002871,clindamycin,erythromycin
C0002871,famotidine,foscarnet
C0027497,famotidine,formoterol
C0020649,carvedilol,cyclobenzaprine
C0020649,chlorpromazine,loratadine
C0020649,epsilon-aminocaproic acid,epinephrine
C0015672,etodolac,ezetimibe
C0020649,carvedilol,vitamin B12
C0027497,naproxen,acebutolol
C0002871,tolterodine,simvastatin
C0002871,acebutolol,atorvastatin
C0002871,naproxen,amphotericin B
C0020649,naproxen,abacavir
C0002871,hydroxyurea,ICL670
C0027497,methylphenidate,bortezomib
C0015672,desloratadine,tegaserod
C0009676,cabergoline,propranolol
C0020649,fentanyl,vancomycin
C0020649,fentanyl,valsartan
C0020649,docetaxel,ifosfamide
C0020649,docetaxel,imipramine
C0020649,fentanyl,venlafaxine
C0013404,anastrozole,carvedilol
C0013404,chlorhexidine,mometasone
C0002871,minocycline,triamcinolone
C0002871,clonidine,rosiglitazone
C0002871,fluoxetine,perphenazine
C0002871,meloxicam,nizatidine
C0020649,amiodarone,glimepiride
C0015672,amlodipine,hydrochlorothiazide
C0020649,digoxin,hydroxychloroquine
C0027497,cyclophosphamide,zidovudine
C0020649,sildenafil,bimatoprost
C0002871,meloxicam,cefpodoxime
C0013404,azithromycin,metformin
C0027497,lansoprazole,atomoxetine
C0013404,loxapine,nevirapine
C0013404,alendronate,olopatadine
C0030193,piroxicam,tiotropium
C0002871,piroxicam,duloxetine
C0027497,fentanyl,haloperidol
C0002871,cefotaxime,tobramycin
C0002871,imipramine,ofloxacin
C0002871,azelastine,lorazepam
C0013404,verapamil,delta 9-tetrahydrocannabinol
C0020649,fluoxetine,pentoxifylline
C0020649,alfuzosin,amiodarone
C0020649,dipyridamole,lansoprazole
C0013404,captopril,enalapril
C0020649,N-acetylcysteine,alprazolam
C0013404,bumetanide,methocarbamol
C0002871,meloxicam,sulfasalazine
C0002871,famotidine,stavudine
C0030193,methotrexate,piroxicam
C0085649,leuprolide acetate,selenium sulfide
C0020649,hydromorphone,terazosin
C0030193,chlordiazepoxide,sertraline
C0020649,bacitracin,pantoprazole
C0020649,gentamicin,ketorolac
C0085649,triiodothyronine,memantine
C0027497,nicotinic acid,desloratadine
C0013404,triiodothyronine,meloxicam
C0020649,galactose,telmisartan
C0020649,hydroxyzine,sucralfate
C0032285,leuprolide acetate,sucralfate
C0020649,doxazosin,acarbose
C0032285,loperamide,nitrazepam
C0002871,famotidine,pioglitazone
C0015672,repaglinide,quetiapine
C0000737,thyroxine,desloratadine
C0013404,acetaminophen,iloprost
C0027497,vitamin A,abacavir
C0020649,latanoprost,tobramycin
C0020649,clotrimazole,mometasone
C0032285,atovaquone,ezetimibe
C0020649,galantamine,lansoprazole
C0020456,epinephrine,cromolyn
C0032285,perindopril,sorafenib
C0002871,pramipexole,spironolactone
C0013404,nizatidine,phentermine
C0020649,lactulose,sevelamer
C0002871,repaglinide,quinapril
C0030193,doxazosin,paricalcitol
C0020649,nadolol,fluticasone
C0020649,ipratropium bromide,acenocoumarol
C0020649,vitamin B12,tramadol
C0011991,pravastatin,entacapone
C0032285,dicyclomine,sumatriptan
C0020649,vitamin B12,trandolapril
C0020649,N-acetylcysteine,hydromorphone
C0020649,paroxetine,zoledronic acid
C0002871,nicotinic acid,quinidine
C0020649,estazolam,fluvoxamine
C0002871,N-acetylcysteine,cortisol
C0020649,sotalol,rosiglitazone
C0020649,doxepin,sertraline
C0020649,duloxetine,nateglinide
C0020649,olopatadine,fluticasone
C0002871,pilocarpine,pioglitazone
C0004093,penicillin V,ramipril
C0002871,lamivudine,voriconazole
C0008031,lansoprazole,tigecycline
C0027497,doxazosin,vitamin D
C0002871,modafinil,levetiracetam
C0020649,furosemide,nystatin
C0020649,cyclophosphamide,promethazine
C0020649,ipratropium bromide,irinotecan
C0027497,cefaclor,ketorolac
C0015672,telmisartan,tadalafil
C0013404,losartan,exemestane
C0002871,leflunomide,temazepam
C0002871,acyclovir,nelfinavir
C0020649,celecoxib,rifampicin
C0020649,vancomycin,medroxyprogesterone
C0020649,metoprolol,mometasone
C0032285,methotrexate,prednisolone
C0002871,doxorubicin,lansoprazole
C0398353,olmesartan medoxomil,methimazole
C0020649,dolasetron,moxifloxacin
C0040034,pyridostigmine,sevelamer
C0020649,bumetanide,cefepime
C0020649,doxazosin,fludarabine
C0002871,doxazosin,fluconazole
C0002871,dolasetron,morphine
C0030193,quetiapine,allopurinol
C0013404,pravastatin,cinacalcet
C0027497,clotrimazole,hydromorphone
C0020649,ketoconazole,mometasone
C0020649,tiotropium,methimazole
C0020649,tolterodine,N-0437
C0020649,cerivastatin,metoprolol
C0020649,N-acetylcysteine,nitroglycerin
C0004093,rabeprazole,adefovir dipivoxil
C0032285,promethazine,torasemide
C0020649,nizatidine,duloxetine
C0020649,methocarbamol,levetiracetam
C0013404,ketorolac,propofol
C0009806,retinoic acid,trimethoprim
C0020649,oxycodone,solifenacin succinate
C0020649,KCl,eptifibatide
C0020649,fentanyl,isosorbide dinitrate
C0020649,acyclovir,alprazolam
C0027497,meloxicam,ezetimibe
C0013404,meloxicam,eplerenone
C0020649,cerivastatin,ipratropium bromide
C0013404,irbesartan,ICL670
C0002871,fluoxetine,bosentan
C0027497,folate,varenicline
C0027497,N-acetylcysteine,eptifibatide
C0002871,cyclosporine,nitrofurantoin
C0020649,prochlorperazine,ibandronate
C0020649,hydroxyzine,terazosin
C0020649,vitamin D,formoterol
C0002871,hydroxyzine,terbinafine
C0020649,naproxen,sucralfate
C0002871,fenofibrate,monamine
C0013404,metoclopramide,clobetasol
C0002871,captopril,vinorelbine
C0020649,prostaglandin E1,pentoxifylline
C0013404,vitamin D,fosinopril
C0002871,metoprolol,norfloxacin
C0041657,sevoflurane,dexmedetomidine
C0002871,carbamazepine,gemcitabine
C0027497,carbamazepine,gemfibrozil
C0002871,carbamazepine,gentamicin
C0002871,leucovorin,5-aminosalicylic acid
C0442874,RSA,desloratadine
C0020649,etoposide,cortisol
C0020649,KCl,allopurinol
C0020649,prednisone,olmesartan medoxomil
C0013404,captopril,cyclophosphamide
C0020649,candesartan,capecitabine
C0027497,oxaprozin,tamsulosin
C0015672,temazepam,acarbose
C0013404,prednisolone,vinblastine
C0002871,captopril,cyclosporine
C0027497,donepezil,pioglitazone
C0027497,5-aminosalicylic acid,simvastatin
C0085649,calcium,lactulose
C0020649,paroxetine,pentoxifylline
C0002871,heparin,caspofungin
C0027497,diltiazem,spironolactone
C0020649,pirbuterol,duloxetine
C0020649,leflunomide,prednisone
C0020649,econazole,furosemide
C0015967,sulfate,pramipexole
C0002871,nystatin,rifampicin
C0013404,pindolol,rofecoxib
C0020649,gemcitabine,fulvestrant
C0020649,dexamethasone,nitrazepam
C0015672,dexamethasone,nitrofurantoin
C0002871,nicardipine,sotalol
C0020538,bupivacaine,midazolam
C0013404,sulfate,pravastatin
C0020649,cefuroxime,nizatidine
C0002871,hydrochlorothiazide,indomethacin
C0013404,duloxetine,almotriptan
C0027947,clomipramine,montelukast
C0011991,cefepime,spironolactone
C0032285,hydrochlorothiazide,zafirlukast
C0020649,hydrochlorothiazide,zaleplon
C0020649,clotrimazole,prochlorperazine
C0002871,clindamycin,valdecoxib
C0020649,rabeprazole,bortezomib
C0032285,sumatriptan,isosorbide-5-mononitrate
C0020649,acyclovir,vitamin D
C0013404,budesonide,dicyclomine
C0002871,nicotinic acid,fenofibrate
C0027497,metoclopramide,stavudine
C0013404,metoclopramide,salmeterol
C0085649,carbamazepine,prazosin
C0002871,nadolol,tacrolimus
C0015672,diltiazem,methyldopa
C0002871,nicotinic acid,felodipine
C0020649,iopromide,venlafaxine
C0002871,enalapril,ibandronate
C0015672,triiodothyronine,fenofibrate
C0020649,enalapril,ziprasidone
C0002871,stavudine,streptomycin
C0020649,anastrozole,latanoprost
C0032285,clarithromycin,gefitinib
C0002871,leflunomide,methotrexate
C0020649,meperidine,lactulose
C0020649,heparin,vitamin A
C0020649,promethazine,rifampicin
C0020649,tolterodine,atomoxetine
C0020649,etodolac,montelukast
C0085649,meperidine,tegaserod
C0008031,lansoprazole,vardenafil
C0032285,clonazepam,voriconazole
C0013404,glibenclamide,spironolactone
C0027497,bupivacaine,hydromorphone
C0020649,etodolac,flunisolide
C0002871,sulfate,mupirocin
C0020649,bupivacaine,cortisol
C0002871,ketoconazole,lactulose
C0020649,baclofen,etodolac
C0002871,minocycline,rosiglitazone
C0013404,pantoprazole,capecitabine
C0020649,phenytoin,calcium chloride
C0027497,zolpidem,selenium sulfide
C0015672,glipizide,lithium
C0020649,zaleplon,lactulose
C0027497,oxazepam,isosorbide-5-mononitrate
C0020649,fenofibrate,ritonavir
C0020649,fenofibrate,rivastigmine
C0020649,cyclobenzaprine,nadolol
C0020649,fenofibrate,risperidone
C0002871,allopurinol,ambrisentan
C0020649,cyclobenzaprine,nalbuphine
C0020649,prednisone,pregabalin
C0020649,fenofibrate,rizatriptan
C0013404,amprenavir,efavirenz
C0013404,N-acetylcysteine,temazepam
C0002871,glimepiride,ribavirin
C0002871,valsartan,atazanavir
C0020649,cefepime,cisplatin
C0020649,bupropion,estradiol
C0015672,valacyclovir,rosiglitazone
C0002871,didanosine,ursodeoxycholic acid
C0008033,didanosine,valacyclovir
C0020649,carvedilol,aripiprazole
C0020649,fentanyl,pirbuterol
C0002871,donepezil,sevelamer
C0002871,phentermine,quetiapine
C0013144,indapamide,levetiracetam
C0002871,prednisolone,valsartan
C0002871,epinephrine,simvastatin
C0013404,iopromide,sertraline
C0027497,zonisamide,simvastatin
C0015672,hydromorphone,mercaptopurine
C0015672,testosterone,warfarin
C0085649,linezolid,ranitidine
C0013404,diltiazem,dofetilide
C0020649,leucovorin,promethazine
C0003467,clozapine,disulfiram
C0020649,pindolol,ezetimibe
C0011991,naproxen,tamsulosin
C0020649,indinavir,ranitidine
C0013404,azithromycin,nabumetone
C0020649,mirtazapine,prednisone
C0011991,oxybutynin,nateglinide
C0002871,lorazepam,clofarabine
C0020649,naloxone,vitamin K1
C0013404,loperamide,hydroxocobalamin
C0030193,alendronate,hydroxocobalamin
C0002871,temazepam,testosterone
C0002871,doxazosin,caspofungin
C0020649,cytosine arabinoside,baclofen
C0002871,gabapentin,stavudine
C0020649,cytosine arabinoside,bacitracin
C0020649,irinotecan,vinorelbine
C0020649,nitroglycerin,sodium bicarbonate
C0002871,econazole,stavudine
C0013404,temozolomide,vincristine
C0020649,cetirizine,paroxetine
C0002871,goserelin,allopurinol
C0020649,clonidine,allopurinol
C0027497,diazepam,thiothixene
C0020649,loperamide,rofecoxib
C0013404,felodipine,valsartan
C0002871,felodipine,vancomycin
C0002871,fexofenadine,mitoxantrone
C0020649,cephalexin,lisinopril
C0030193,topiramate,gadodiamide
C0020649,ciprofloxacin,testosterone
C0002871,amiodarone,ketoprofen
C0020649,celecoxib,ticlopidine
C0002871,folate,rapamycin
C0027497,telmisartan,cinacalcet
C0020649,celecoxib,timolol
C0002871,ciprofloxacin,terazosin
C0002871,ciprofloxacin,terbinafine
C0020649,sevoflurane,calcium chloride
C0002871,furosemide,hydralazine
C0020649,fluoxetine,zolpidem
C0027497,fluoxetine,zolmitriptan
C0027497,cyclobenzaprine,moexipril
C0020649,calcitriol,raloxifene
C0020649,fluoxetine,zonisamide
C0020649,cytosine arabinoside,lansoprazole
C0002871,calcitriol,ranitidine
C0020649,calcitriol,ramipril
C0020649,furosemide,hydrochlorothiazide
C0020649,paclitaxel,ritonavir
C0002871,pravastatin,lenalidomide
C0002871,paclitaxel,risperidone
C0002871,leucovorin,anastrozole
C0030193,finasteride,verteporfin
C0002871,paclitaxel,rizatriptan
C0020649,methyldopa,morphine
C0015672,tiotropium,tenofovir disoproxil fumarate
C0030193,diclofenac,pramipexole
C0020649,5-fluorouracil,simvastatin
C0032285,clindamycin,irinotecan
C0020649,ondansetron,dobutamine
C0020649,fluconazole,posaconazole
C0002871,lovastatin,clarithromycin
C0020649,nortriptyline,colesevelam hydrochloride
C0020649,irbesartan,vardenafil
C0027497,irbesartan,tadalafil
C0020649,dextromethorphan,ritonavir
C0020649,baclofen,prednisolone
C0151904,clonazepam,tolcapone
C0020649,clonazepam,entacapone
C0002871,carbamazepine,acarbose
C0013404,pentoxifylline,tiotropium
C0002871,furosemide,adefovir dipivoxil
C0002871,pentoxifylline,duloxetine
C0020649,cerivastatin,prednisone
C0020649,ofloxacin,pamidronate
C0020649,adenosine,warfarin
C0002871,amlodipine,timolol
C0002871,rabeprazole,ranolazine
C0002871,omeprazole,imatinib
C0002871,cetirizine,glimepiride
C0002871,cetirizine,glipizide
C0020649,mupirocin,sodium bicarbonate
C0015672,triazolam,dutasteride
C0013404,digoxin,atomoxetine
C0030193,sildenafil,acarbose
C0002871,chlorhexidine,folate
C0020649,famciclovir,zopiclone
C0043096,buspirone,isosorbide dinitrate
C0002871,famciclovir,zolpidem
C0002871,promethazine,retinoic acid
C0013404,oxazepam,sevelamer
C0027497,ethambutol,foscarnet
C0027497,alprazolam,chlordiazepoxide
C0020649,alprazolam,chlorhexidine
C0002871,labetalol,lovastatin
C0002871,labetalol,losartan
C0020649,lithium,oxcarbazepine
C0013404,sotalol,sulfasalazine
C0027497,prednisone,aliskiren
C0020649,nabumetone,tolterodine
C0020649,loperamide,valacyclovir
C0013404,donepezil,labetalol
C0020649,carnitine,sevelamer
C0020649,monamine,propranolol
C0020649,ramipril,rapamycin
C0013404,estradiol,azathioprine
C0020649,epinephrine,ibuprofen
C0020649,estradiol,azelastine
C0027497,alfuzosin,doxazosin
C0020649,epinephrine,lidocaine
C0002871,amiodarone,diclofenac
C0030193,actinomycin D,digoxin
C0020649,morphine,warfarin
C0020649,fosinopril,montelukast
C0020649,estradiol,azithromycin
C0020649,metronidazole,cisplatin
C0002871,metformin,NaCl
C0020649,calcitriol,imipramine
C0020649,calcitriol,ifosfamide
C0015672,metformin,trimethoprim
C0020649,oxycodone,vinorelbine
